Фамилия, Месяц, Товар, Сумма
Федукеев, февраль, микроволновая печь, 10000
Максимов, май, холодильник, 30000
Кашев, ноябрь, пылесос, 5500
Дронов, декабрь, духовая печь, 35500
Делимов, май, миксер, 3300
Фаршин, январь, посудомоечная машина, 15500
Глыбин, сентябрь, холодильник, 25800
Вогов, октябрь, стиральная машина, 28500
Говаров, июль, микроволновая печь, 12400
Трясимов, июль, холодильник, 15900
Говоров, июнь, посудомоечная машина, 21900
Травимов, апрель, блендер, 3400
Горон, декабрь, кофеварка, 5600
Фамилин, ноябрь, мультиварка, 3400
Диетов, декабрь, варочная панель, 13400
Шарфин, август, кухонный комбайн, 35200
Сумочкин, декабрь, электрический чайник, 1500
Шишкин, март, холодильник, 14900
Пушкин, февраль, мультиварка, 2800
Маяковский, июнь, кондиционер, 42300
